DUID,PROJECT_NAME,LOCATION,REZ,REZ_NAME,STATE,REGIONID,NAMEPLATE_MW,VOLTAGE_KV,FUEL_TYPE,TECHNOLOGY,MLF_FY24-25,MLF_FY25-26,MLF_FY26-27 (Draft),CURTAILMENT_ACTUAL_FY23-24,CURTAILMENT_ACTUAL_FY24-25,ELI_CURTAILMENT_NEAR,ELI_CURTAILMENT_MED
GULLRWF1,Gullen Range Wind Farm,,N,Non-REZ,NSW,NSW1,165.0,,Wind,Renewable,0.9498,0.962,0.9605,0.0024,0.0168,,
GULLRWF2,Gullen Range Wind Farm,,N,Non-REZ,NSW,NSW1,110.0,,Wind,Renewable,0.9498,0.962,0.9605,0.0155,0.055,,
GUNNING1,Gunning Wind Farm,,N,Non-REZ,NSW,NSW1,46.5,,Wind,Renewable,0.9317,0.9521,0.9483,0.0239,0.0178,,
RYEPARK1,Rye Park Renewable Energy,,N,Non-REZ,NSW,NSW1,396.0,,Wind,Renewable,0.9427,0.9595,0.9578,,0.0134,,
SAPHWF1,Sapphire Wind Farm,,N,Non-REZ,NSW,NSW1,270.0,,Wind,Renewable,0.9012,0.8558,0.8684,0.0048,0.0056,,
STWF1,Silverton Wind Farm,,N,Non-REZ,NSW,NSW1,198.94,,Wind,Renewable,0.805,0.8627,0.8871,0.0354,0.064,,
TARALGA1,Taralga Wind Farm,,N,Non-REZ,NSW,NSW1,106.8,,Wind,Renewable,1.0088,0.9971,1.0006,0.0001,0.0002,,
WRWF1,White Rock Wind Farm,,N,Non-REZ,NSW,NSW1,175.0,,Wind,Renewable,0.8453,0.8149,0.8286,0.0291,0.0573,,
WOODLWN1,Woodlawn Wind Farm,,N,Non-REZ,NSW,NSW1,48.3,,Wind,Renewable,0.9467,0.9649,0.9645,0.0157,0.0294,,
CLRKCWF1,Clarke Creek Wind Farm,,N,Non-REZ,QLD,QLD1,345.5,,Wind,Renewable,0.9497,0.943,0.9326,,,,
CLRKCWF2,Clarke Creek Wind Farm,,N,Non-REZ,QLD,QLD1,103.5,,Wind,Renewable,0.9497,0.943,0.9326,,,,
COOPGWF1,Coopers Gap Wind Farm,,N,Non-REZ,QLD,QLD1,452.0,,Wind,Renewable,0.9672,0.9691,0.9705,0.0006,0.029,,
DULAWF1,Dulacca Wind Farm,,N,Non-REZ,QLD,QLD1,180.0,,Wind,Renewable,0.977,0.9853,0.9869,0.0044,0.0032,,
KABANWF1,Kaban Wind Farm,,N,Non-REZ,QLD,QLD1,156.0,,Wind,Renewable,0.9605,0.9696,0.9484,0.0125,0.0136,,
KEPWF1,Kennedy Energy Park,,N,Non-REZ,QLD,QLD1,43.0,,Wind,Renewable,0.9703,0.9813,0.9664,0.0103,0.0236,,
MCINTYR1,MacIntyre Wind Farm,,N,Non-REZ,QLD,QLD1,923.0,,Wind,Renewable,0.9734,0.9723,0.9727,,,,
MEWF1,Mount Emerald Wind Farm,,N,Non-REZ,QLD,QLD1,180.0,,Wind,Renewable,0.9527,0.9649,0.9451,0.0247,0.0396,,
WAMBOWF1,Wambo Wind Farm 1,,N,Non-REZ,QLD,QLD1,252.0,,Wind,Renewable,0.9698,0.967,0.9703,,,,
WHILL1,Windy Hill Wind Farm,,N,Non-REZ,QLD,QLD1,12.0,,Wind,Renewable,1.0142,1.0128,1.01,,,,
CNUNDAWF,Canunda Wind Farm,,N,Non-REZ,SA,SA1,46.0,,Wind,Renewable,0.9755,0.9333,0.9458,0.1746,0.254,,
CATHROCK,Cathedral Rocks,,N,Non-REZ,SA,SA1,66.0,,Wind,Renewable,0.9309,0.9467,0.9408,0.1389,0.0515,,
CLEMGPWF,Clements Gap Wind Farm,,N,Non-REZ,SA,SA1,57.0,,Wind,Renewable,0.9486,0.9604,0.9605,0.0134,0.0062,,
GSWF1A,Goyder South Wind Farm 1A,,N,Non-REZ,SA,SA1,209.0,,Wind,Renewable,0.9643,0.9697,0.9711,,0.176,,
GSWF1B1,Goyder South Wind Farm 1B,,N,Non-REZ,SA,SA1,203.0,,Wind,Renewable,0.9641,0.9689,0.971,,,,
HALLWF1,Hallett 1 Wind Farm,,N,Non-REZ,SA,SA1,94.5,,Wind,Renewable,0.9565,0.9663,0.9635,0.0813,0.1169,,
HALLWF2,Hallett 2 Wind Farm,,N,Non-REZ,SA,SA1,71.4,,Wind,Renewable,0.9526,0.9608,0.962,0.0914,0.1053,,
HDWF1,Hornsdale Wind Farm,,N,Non-REZ,SA,SA1,102.4,,Wind,Renewable,0.9423,0.956,0.9538,0.0092,0.0033,,
HDWF2,Hornsdale Wind Farm 2,,N,Non-REZ,SA,SA1,102.4,,Wind,Renewable,0.9423,0.956,0.9538,0.0085,0.0038,,
HDWF3,Hornsdale Wind Farm 3,,N,Non-REZ,SA,SA1,112.0,,Wind,Renewable,0.9423,0.956,0.9538,0.0092,0.0027,,
LKBONNY2,Lake Bonney Stage 2 Windfarm,,N,Non-REZ,SA,SA1,159.0,,Wind,Renewable,0.9709,0.9297,0.939,0.1058,0.1941,,
LKBONNY3,Lake Bonney Stage 3 Wind Farm,,N,Non-REZ,SA,SA1,39.0,,Wind,Renewable,0.9709,0.9297,0.939,0.1939,0.2514,,
LKBONNY1,Lake Bonney Wind Farm Stage 1,,N,Non-REZ,SA,SA1,80.5,,Wind,Renewable,0.9709,0.9297,0.939,0.1878,0.2535,,
LGAPWF1,Lincoln Gap Wind Farm,,N,Non-REZ,SA,SA1,126.0,,Wind,Renewable,0.9576,0.9689,0.9662,0.0967,0.1438,,
LGAPWF2,Lincoln Gap Wind Farm,,N,Non-REZ,SA,SA1,86.0,,Wind,Renewable,0.9576,0.9689,0.9662,0.1085,0.1628,,
MTMILLAR,Mt Millar Wind Farm,,N,Non-REZ,SA,SA1,70.0,,Wind,Renewable,0.9162,0.9403,0.9379,0.1885,0.287,,
NBHWF1,North Brown Hill Wind Farm,,N,Non-REZ,SA,SA1,132.3,,Wind,Renewable,0.9467,0.9579,0.9583,0.0739,0.1193,,
PAREPW1,Port Augusta Renewable Energy Park,,N,Non-REZ,SA,SA1,210.0,,Wind,Renewable,0.9608,0.9735,0.9709,0.0914,0.1943,,
SNOWSTH1,Snowtown South Wind Farm,,N,Non-REZ,SA,SA1,126.0,,Wind,Renewable,0.9613,0.9695,0.9694,0.0071,0.0037,,
SNOWNTH1,Snowtown Wind Farm Stage 2 North,,N,Non-REZ,SA,SA1,144.0,,Wind,Renewable,0.9613,0.9695,0.9694,0.0101,0.0026,,
SNOWTWN1,Snowtown Wind Farm Units 1 And 47,,N,Non-REZ,SA,SA1,99.0,,Wind,Renewable,0.8932,0.9157,0.9112,0.1075,0.1825,,
STARHLWF,Starfish Hill Wind Farm,,N,Non-REZ,SA,SA1,34.5,,Wind,Renewable,1.0025,1.0037,1.0034,0.0,0.0,,
BLUFF1,The Bluff Wind Farm,,N,Non-REZ,SA,SA1,52.5,,Wind,Renewable,0.9467,0.9579,0.9583,0.1016,0.0847,,
WATERLWF,Waterloo Wind Farm,,N,Non-REZ,SA,SA1,130.8,,Wind,Renewable,0.9547,0.9624,0.9611,0.0239,0.0203,,
WPWF,Wattle Point Wind Farm,,N,Non-REZ,SA,SA1,90.75,,Wind,Renewable,0.8179,0.8456,0.844,0.0871,0.1598,,
WGWF1,Willogoleche Wind Farm,,N,Non-REZ,SA,SA1,122.0,,Wind,Renewable,0.9498,0.9601,0.9605,0.0941,0.0426,,
CTHLWF1,Cattle Hill Wind Farm,,N,Non-REZ,TAS,TAS1,148.0,,Wind,Renewable,0.9908,0.9924,0.998,0.0051,0.0068,,
GRANWF1,Granville Harbour Wind Farm,,N,Non-REZ,TAS,TAS1,110.0,,Wind,Renewable,0.9473,0.9555,0.9611,0.007,0.0033,,
MUSSELR1,Musselroe Wind Farm,,N,Non-REZ,TAS,TAS1,168.0,,Wind,Renewable,0.9199,0.9101,0.9125,0.013,0.0135,,
WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,,N,Non-REZ,TAS,TAS1,140.0,,Wind,Renewable,0.8951,0.9224,0.9324,,,,
ARWF1,Ararat Wind Farm,,N,Non-REZ,VIC,VIC1,241.59,,Wind,Renewable,0.8856,0.9031,0.8999,0.0756,0.0482,,
BALDHWF1,Bald Hills Wind Farm,,N,Non-REZ,VIC,VIC1,106.6,,Wind,Renewable,0.9848,0.9862,0.9914,0.0078,0.0051,,
BRYB2WF2,Berrybank 2 Wind Farm,,N,Non-REZ,VIC,VIC1,109.0,,Wind,Renewable,0.9315,0.9465,0.945,0.2041,0.1906,,
BRYB1WF1,Berrybank Wind Farm,,N,Non-REZ,VIC,VIC1,180.6,,Wind,Renewable,0.9315,0.9465,0.945,0.045,0.0316,,
BULGANA1,Bulgana Green Power Hub,,N,Non-REZ,VIC,VIC1,204.0,,Wind,Renewable,0.8733,0.8907,0.89,0.0347,0.0284,,
CHALLHWF,Challicum Hills Wind Farm,,N,Non-REZ,VIC,VIC1,52.5,,Wind,Renewable,0.9718,0.9825,0.9801,,,,
CHPSTWF1,Chepstowe Wind Farm,,N,Non-REZ,VIC,VIC1,6.15,,Wind,Renewable,0.9718,0.9825,,,,,
CHYTWF1,Cherry Tree Wind Farm,,N,Non-REZ,VIC,VIC1,57.6,,Wind,Renewable,0.9976,0.998,0.9978,0.0578,0.0958,,
CODRNGTON,Codrington Wind Farm,,N,Non-REZ,VIC,VIC1,18.2,,Wind,Renewable,0.9993,1.0018,0.9952,,,,
CBWF1,Coonooer Bridge Wind Farm,,N,Non-REZ,VIC,VIC1,19.8,,Wind,Renewable,1.0072,1.0166,1.0065,,,,
CROWLWF1,Crowlands Wind Farm,,N,Non-REZ,VIC,VIC1,79.95,,Wind,Renewable,0.8833,0.9004,0.9,0.0553,0.0678,,
DIAPURWF1,Diapur Wind Farm,,N,Non-REZ,VIC,VIC1,8.0,,Wind,Renewable,0.8733,0.8959,0.901,,,,
DUNDWF1,Dundonnell Wind Farm,,N,Non-REZ,VIC,VIC1,168.0,,Wind,Renewable,0.981,0.9845,0.9833,0.1012,0.125,,
DUNDWF2,Dundonnell Wind Farm,,N,Non-REZ,VIC,VIC1,46.0,,Wind,Renewable,0.981,0.9845,0.9833,0.0735,0.0467,,
DUNDWF3,Dundonnell Wind Farm,,N,Non-REZ,VIC,VIC1,121.0,,Wind,Renewable,0.981,0.9845,0.9833,0.0794,0.0331,,
ELAINWF1,Elaine Wind Farm,,N,Non-REZ,VIC,VIC1,83.6,,Wind,Renewable,0.9475,0.9569,0.9569,0.1555,,,
FNWF1,Ferguson North Wind Farm,,N,Non-REZ,VIC,VIC1,4.0,,Wind,Renewable,0.9993,,,,,,
FSWF1,Ferguson South Wind Farm,,N,Non-REZ,VIC,VIC1,8.0,,Wind,Renewable,0.9993,1.0018,0.9952,,,,
GPWFEST1,Golden Plains Wind Farm East,,N,Non-REZ,VIC,VIC1,248.0,,Wind,Renewable,0.9808,0.9834,0.9819,,,,
GPWFEST2,Golden Plains Wind Farm East,,N,Non-REZ,VIC,VIC1,260.4,,Wind,Renewable,0.9808,0.9834,0.9819,,,,
GPWFEST3,Golden Plains Wind Farm East,,N,Non-REZ,VIC,VIC1,248.0,,Wind,Renewable,0.9808,0.9834,0.9819,,,,
GPWFWST1,Golden Plains Wind Farm West,,N,Non-REZ,VIC,VIC1,266.0,,Wind,Renewable,,0.9837,0.9824,,,,
GPWFWST2,Golden Plains Wind Farm West,,N,Non-REZ,VIC,VIC1,310.0,,Wind,Renewable,,0.9837,0.9824,,,,
HD1WF1,Hawkesdale Wind Farm,,N,Non-REZ,VIC,VIC1,96.6,,Wind,Renewable,0.9809,0.9865,0.9829,,0.1766,,
HEPWIND1,Hepburn Community Wind Farm,,N,Non-REZ,VIC,VIC1,4.1,,Wind,Renewable,0.9718,0.9825,0.9801,,,,
KIATAWF1,Kiata Wind Farm,,N,Non-REZ,VIC,VIC1,31.05,,Wind,Renewable,0.8733,0.8959,0.901,0.1062,0.173,,
MACARTH1,Macarthur Wind Farm,,N,Non-REZ,VIC,VIC1,420.0,,Wind,Renewable,0.9781,0.9829,0.983,0.074,0.1339,,
MAROOWF1,Maroona Wind Farm,,N,Non-REZ,VIC,VIC1,6.8,,Wind,Renewable,0.9718,0.9825,0.9801,,,,
MOORAWF1,Moorabool Wind Farm ,,N,Non-REZ,VIC,VIC1,312.0,,Wind,Renewable,0.9475,0.9569,0.9569,0.0878,0.0847,,
MRTLSWF1,Mortlake South Wind Farm,,N,Non-REZ,VIC,VIC1,157.5,,Wind,Renewable,0.943,0.9525,0.9519,0.1264,0.0981,,
MLWF1,Mortons Lane Wind Farm,,N,Non-REZ,VIC,VIC1,20.0,,Wind,Renewable,0.9993,1.0018,0.9952,,,,
MTGELWF1,Mt Gellibrand Wind Farm,,N,Non-REZ,VIC,VIC1,138.0,,Wind,Renewable,0.9855,0.9879,0.9894,0.05,0.0498,,
MERCER01,Mt Mercer Wind Farm,,N,Non-REZ,VIC,VIC1,131.2,,Wind,Renewable,0.9475,0.9569,0.9569,0.1784,0.2533,,
MUWAWF1,Murra Warra Wind Farm,,N,Non-REZ,VIC,VIC1,231.8,,Wind,Renewable,0.8619,0.8817,0.8881,0.1857,0.2838,,
MUWAWF2,Murra Warra Wind Farm Stage 2,,N,Non-REZ,VIC,VIC1,209.0,,Wind,Renewable,0.8619,0.8817,0.8881,0.1619,0.2355,,
OAKLAND1,Oaklands Hill Wind Farm,,N,Non-REZ,VIC,VIC1,67.0,,Wind,Renewable,0.9993,1.0018,0.9952,0.0583,0.077,,
RYANCWF1,Ryan Corner Wind Farm,,N,Non-REZ,VIC,VIC1,218.4,,Wind,Renewable,0.9787,0.9875,0.9837,,0.0931,,
SALTCRK1,Salt Creek Wind Farm,,N,Non-REZ,VIC,VIC1,54.0,,Wind,Renewable,0.9388,0.9519,0.951,0.1607,0.2295,,
STOCKYD1,Stockyard Hill Wind Farm,,N,Non-REZ,VIC,VIC1,531.0,,Wind,Renewable,0.9812,0.9845,0.9832,0.0653,0.0216,,
TIMWEST,Timboon West Wind Farm,,N,Non-REZ,VIC,VIC1,7.2,,Wind,Renewable,0.9993,1.0018,0.9952,,,,
TOORAWF,Toora Wind Farm,,N,Non-REZ,VIC,VIC1,21.0,,Wind,Renewable,0.9848,0.9862,0.9914,,,,
WAUBRAWF,Waubra Wind Farm,,N,Non-REZ,VIC,VIC1,192.0,,Wind,Renewable,0.9149,0.9329,0.9317,,,,
WONWP,Wonthaggi Wind Farm,,N,Non-REZ,VIC,VIC1,12.0,,Wind,Renewable,0.9848,0.9862,0.9914,,,,
YSWF1,Yaloak South Wind Farm,,N,Non-REZ,VIC,VIC1,28.7,,Wind,Renewable,0.9718,0.9825,0.9801,,,,
YAMBUKWF,Yambuk Wind Farm,,N,Non-REZ,VIC,VIC1,30.0,,Wind,Renewable,0.9993,1.0018,0.9952,,,,
YAWWF1,Yawong Wind Farm,,N,Non-REZ,VIC,VIC1,7.2,,Wind,Renewable,1.0072,1.0166,1.0065,,,,
YENDWF1,Yendon Wind Farm,,N,Non-REZ,VIC,VIC1,144.4,,Wind,Renewable,0.9425,0.9537,0.9562,0.1421,0.1581,,
